RIMINI,PESARO
23.0,22.5
4.5,4.0
21.5,24.5
-3.5,0.0
21.0,26.0
10.0,0.0
13.5,14.0
5.0,5.0
4.5,4.0
-6.5,1.0
-2.5,-0.5
46.0,62.5
0.0,7.0
-3.5,0.5
30.0,29.0
-5.0,0.5
-6.5,-1.0
-3.5,0.0
-6.0,0.5
7.0,10.0
-4.5,0.0
-2.0,13.0
-8.0,-0.5
6.0,10.0
-1.5,1.0
18.0,19.0
-1.0,1.5
-2.0,1.0
20.0,22.5
-2.5,-2.0
-0.5,-2.0
0.5,0.0
8.0,10.5
1.0,-1.0
-3.0,-2.5
-3.5,4.0
-4.0,-0.5
4.5,4.0
-3.0,0.0
-1.0,0.0
-7.0,-1.0
-2.5,2.0
-4.0,1.5
9.5,11.0
15.5,18.5
2.5,4.0
0.0,1.5
-1.0,2.5
1.0,1.0
3.0,2.0
20.5,26.0
-2.0,-2.0
0.5,-2.0
114.5,114.5
0.0,1.0
6.5,8.0
1.5,3.0
4.0,4.5
9.5,10.0
23.5,23.5
50.0,50.0
5.0,10.5
-1.0,-0.5
0.5,0.5
-4.0,-0.5
-7.5,0.5
-6.0,-0.5
-5.5,0.0
-3.5,0.0
-5.5,0.5
-2.5,0.0
-2.0,0.5
69.5,70.0
4.5,5.5
-1.5,0.5
1.0,1.0
8.5,8.5
0.0,0.5
1.5,1.5
14.5,15.5
10.5,9.0
0.0,-1.0
2.0,3.5
2.0,1.0
5.5,6.0
8.0,10.5
0.0,0.5
0.5,-0.5
-2.5,-1.5
-1.0,0.0
3.5,3.5
1.0,2.5
1.0,0.5
1.0,1.0
-4.0,9.0
-6.5,-0.5
-0.5,0.0
-5.0,13.5
-2.0,4.5
-7.5,-1.0
-1.0,2.5
9.5,9.5
3.0,3.0
-2.5,-0.5
-4.0,0.0
1.5,4.0
-0.5,-0.5
-3.5,-1.0
13.5,14.5
1.0,4.0
1.0,0.0
0.5,-0.5
-6.0,-0.5
-5.0,-1.5
0.5,4.0
-3.0,-0.5
4.0,10.0
1.0,0.5
25.0,25.5
24.0,27.5
-3.5,-1.0
11.0,11.0
12.5,19.5
5.5,6.0
21.5,21.5
16.0,16.0
7.0,7.5
1.5,2.0
19.0,22.0
12.5,14.0
15.5,16.5
0.0,2.0
-2.5,0.0
-1.5,1.0
21.0,21.5
6.5,5.5
28.5,30.0
22.5,25.0
-3.5,-2.0
10.0,9.5
-2.0,1.5
-1.5,-0.5
13.0,12.5
8.0,10.5
5.0,4.5
0.5,0.5
-5.5,-0.5
-2.5,0.0
-2.0,-0.5
-2.0,0.0
-3.5,-1.0
-3.5,-0.5
5.0,4.0
2.0,2.0
12.5,13.0
4.5,6.0
4.0,3.5
5.0,5.0
-8.0,-0.5
-0.5,1.5
-7.0,-1.0
-7.5,-0.5
1.0,2.0
-1.0,0.5
15.0,15.5
-4.0,0.0
-2.5,0.0
0.0,-0.5
19.5,24.0
2.5,2.0
9.0,8.5
15.5,14.5
53.0,53.0
8.5,8.5
19.5,19.0
5.5,5.5
13.5,18.0
9.0,10.5
4.0,5.0
7.5,5.5
5.5,6.0
2.5,1.5
4.5,4.0
7.5,9.0
8.0,16.5
2.0,3.5
5.5,4.5
13.0,14.5
-0.5,0.5
7.0,9.0
4.5,3.5
1.5,0.5
16.0,17.0
47.5,48.5
29.0,29.5
12.0,11.5
3.5,3.5
31.0,34.0
17.5,16.5
-1.5,-1.0
23.0,22.5
7.5,9.5
8.5,7.5
2.0,0.0
3.5,2.0
1.0,-1.5
-0.5,-0.5
-0.5,1.5
3.0,1.5
-1.0,-1.5
3.0,5.0
2.0,5.5
15.5,17.5
1.5,5.0
-1.0,2.5
23.5,30.0
1.0,6.0
4.0,4.0
21.5,21.5
11.5,11.5
19.0,19.0
1.0,1.0
9.5,8.5
-0.5,-0.5
9.5,9.5
1.5,4.0
1.0,0.5
0.0,-0.5
-4.0,5.5
1.5,2.0
-5.0,-0.5
-4.0,4.0
-5.0,-0.5
-5.0,-1.0
4.0,5.0
-4.5,0.5
-4.5,0.5
-2.0,0.5
-8.5,-1.5
-4.0,0.5
5.0,6.5
3.0,4.5
39.0,40.0
21.0,22.5
-2.5,0.0
5.5,5.0
16.0,16.5
16.5,17.5
12.0,34.0
23.0,34.5
4.0,6.5
52.0,59.5
1.5,3.5
2.5,5.0
10.0,9.5
9.0,11.0
-0.5,-0.5
6.5,4.5
-2.5,1.0
-5.5,1.0
4.5,4.5
11.5,11.0
0.5,6.0
-4.5,2.0
1.0,-1.0
24.5,26.5
3.5,2.5
1.0,0.0
-5.5,-0.5
-7.0,-0.5
-1.0,0.0
0.0,0.5
-5.0,-1.0
-5.0,0.0
14.0,44.0
22.5,25.0
26.5,31.0
18.0,29.0
11.0,13.5
88.5,101.5
0.5,6.0
-1.5,0.0
-3.0,0.5
-1.0,-0.5
-2.0,-0.5
-3.5,-0.5
4.5,3.5
2.0,1.5
-3.0,0.0
7.0,8.5
6.5,7.0
1.0,0.0
7.0,6.5
2.5,1.0
1.0,2.5
3.0,4.5
-5.0,-2.5
2.0,1.0
6.0,7.0
15.0,15.5
-3.5,-1.0
-6.5,-0.5
-5.5,0.0
-3.0,-0.5
-4.0,0.5
-3.5,-1.0
-6.0,-1.0
5.0,3.5
-2.5,-1.0
-1.0,1.5
7.5,9.0
-1.5,1.0
1.5,0.5
20.5,19.0
3.0,1.5
-1.5,0.0
-1.0,1.0
1.0,-1.0
7.5,6.5
1.5,0.5
8.5,11.0
2.0,1.5
4.0,3.0
-5.0,-1.5
31.0,32.5
3.5,3.5
36.0,41.0
1.5,0.5
-3.5,-0.5
-1.5,-1.0
-0.5,0.0
2.0,2.5
3.5,8.0
12.0,12.0
3.5,2.5
0.5,0.5
17.5,19.5
1.5,1.5
18.0,18.5
8.0,7.5
9.0,10.0
-6.5,0.0
